schema_version,case_id,source_kind,created_date,batch_no,status,case_theme,industry,company_stage,bank_is_main,bank_credit_balance_million_yen,lease_customer_status,existing_lease_credit_balance_million_yen,equity_ratio_percent,asset_type,amount_million_yen,lease_term_years,purpose,financial_snapshot,case_context,positive_points,risk_points,credit_score_20,repayment_source_score_20,asset_exit_score_20,plan_specificity_score_20,uncertainty_control_score_20,total_score_100,user_decision,heaviest_issue,additional_checks,ringi_sentence,score_decision_gap_note,ai_feedback_outcome,ai_feedback_note,okf_candidate_tags,presentation_use_ok,reviewer,judged_at
1,CASE-JD-20260725-0001,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,補助金前提,製造業,安定黒字,メイン,0,既存先,5,8,CNC工作機械,12,4,老朽設備更新と増産対応,直近期売上90百万円、営業利益-800万円、借入金2500万円、自己資本比率8%、ステージ=安定黒字。,社長は採択前提で説明しているが、銀行支援は口頭段階。,既存主力先からの受注残があり、設備必要性は明確。,補助金採択前にリース開始予定で、未採択時の資金繰り説明が弱い。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0002,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,新店舗計画,飲食業,安定黒字,メイン,20,既存先,12,12,厨房設備一式,24,5,新店舗出店,直近期売上125百万円、営業利益300万円、借入金3400万円、自己資本比率12%、ステージ=安定黒字。,立地評価は高いが、回転率・客単価・原価率の資料が薄い。,既存店舗は黒字で、代表に運営経験がある。,新店舗売上計画が既存店実績より強く、人員確保も未確定。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0003,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,増額更新,食品製造業,安定黒字,メイン,35,既存先,18,16,包装ライン,36,6,既存設備更新,直近期売上160百万円、営業利益900万円、借入金4300万円、自己資本比率16%、ステージ=安定黒字。,旧設備の廃棄費用・下取り可否が未確認。,故障頻度と停止時間が増え、更新合理性はある。,月額負担が上がる一方、改善効果がメーカー資料中心。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0004,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,新規契約前提,運送業,安定黒字,非メイン,50,既存先,25,20,大型トラック,62,7,新規荷主ルート対応,直近期売上195百万円、営業利益1600万円、借入金5200万円、自己資本比率20%、ステージ=安定黒字。,契約不成立時は既存業務に転用可能だが採算は下がる。,既存車両の稼働率は高く、返済履歴も良好。,荷主契約が内諾段階で、燃料費上昇時の採算余力が薄い。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0005,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,購入選択権,卸売業,安定黒字,非メイン,80,既存先,40,24,フォークリフト,12,4,倉庫能力維持,直近期売上230百万円、営業利益2400万円、借入金6100万円、自己資本比率24%、ステージ=安定黒字。,使用時間が長く、バッテリー交換費用の負担確認が必要。,倉庫稼働は安定し、物件の必要性は明確。,購入選択権価格が低く、残価・満了後出口の説明が弱い。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0006,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,医療機器更新,医療・福祉,安定黒字,非メイン,120,新規先,0,30,画像診断装置,24,5,診療能力維持と待ち時間短縮,直近期売上265百万円、営業利益3600万円、借入金7000万円、自己資本比率30%、ステージ=安定黒字。,メーカー保守契約は提示済みだが、更新後の稼働計画は概算。,地域需要があり、既存患者基盤も安定している。,診療報酬改定や保守費用を織り込んだ採算表が不足。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0007,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,建機高稼働,建設業,安定黒字,メイン,180,新規先,0,36,油圧ショベル,36,6,受注現場対応,直近期売上300百万円、営業利益-800万円、借入金7900万円、自己資本比率36%、ステージ=安定黒字。,代表は中古売却可能と説明するが、査定根拠は未取得。,公共工事の受注残があり、機械稼働の見込みはある。,工期後の転用先と中古価格下落時の出口説明が弱い。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0008,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,IT設備刷新,情報通信業,安定黒字,メイン,250,新規先,0,8,サーバー・ネットワーク機器,62,7,顧客案件増加に伴う基盤増強,直近期売上335百万円、営業利益300万円、借入金8800万円、自己資本比率8%、ステージ=安定黒字。,保守契約と入替計画はあるが、解約時の転用価値は限定的。,継続契約が複数あり、粗利率は比較的高い。,技術陳腐化が早く、期間と経済的寿命の整合確認が必要。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0009,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,美容店舗拡張,生活関連サービス業,安定黒字,メイン,0,新規先,0,12,美容機器,12,4,新メニュー開始,直近期売上370百万円、営業利益900万円、借入金9700万円、自己資本比率12%、ステージ=安定黒字。,機器は専門性が高く、撤退時の換金性に幅がある。,既存顧客があり、単価上昇の余地がある。,新メニュー売上は口頭見込み中心で、解約率・稼働率が未整理。,,,,,,,,,,,,,,,yes,,
1,CASE-JD-20260725-0010,demo_user_judgment_drill,2026-07-25,1,pending_user_judgment,農業設備,農業,安定黒字,非メイン,20,新規先,0,16,選果機,24,5,出荷能力向上,直近期売上405百万円、営業利益1600万円、借入金10600万円、自己資本比率16%、ステージ=安定黒字。,補助金と組合支援の説明はあるが、入金時期が未確定。,出荷先との取引は長く、季節需要も見込める。,収穫量・天候影響に左右され、年間資金繰りの波が大きい。,,,,,,,,,,,,,,,yes,,
